name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,16518,4438879631,,,,,secondary,0,104.6343978,35.0113268,,,
,16522,4438879876,,,,,primary,0,104.626972,35.0187764,,,
,16524,4440918485,,,,,primary,0,98.8755362,39.9393342,,,
,16525,4440918494,,,,,primary,0,98.8710411,39.9425758,,,
,16526,4440918503,,,,,primary,0,98.8713951,39.9826895,,,
,16538,4441222699,motorway_junction,,,,primary,0,103.605618,36.14885,,,
,16541,4441222741,,,,,primary,0,103.5960991,36.1584017,,,
,16542,4441222742,,,,,primary,0,103.5962165,36.1584517,,,
,16547,4441499477,,,,,primary,0,98.8706723,39.9429317,,,
,16548,4442273168,,,,,primary,0,98.3528798,39.7505799,,,
,16549,4442273170,,,,,primary,0,98.3167647,39.7505738,,,
,16550,4442273172,,,,,primary,0,98.3528711,39.7507548,,,
,16555,4447984298,,,,,primary,0,103.7562122,36.0706904,,,
,16556,4447984302,,,,,primary,0,103.7431119,36.0729802,,,
,16557,4447984308,,,,,primary,0,103.760461,36.0699881,,,
,16558,4447984311,,,,,primary,0,103.743107,36.0729253,,,
,16559,4447984314,,,,,primary,0,103.7561997,36.0706435,,,
,16566,4450190518,,,,,trunk,0,103.8296227,36.0622026,,,
,16569,4450332697,,,,,trunk,0,103.3907906,36.7464906,,,
,16570,4450427682,,,,,secondary,0,103.6912823,36.4754369,,,
,16571,4450427683,,,,,secondary,0,103.691036,36.4755389,,,
,16572,4450428307,,,,,secondary,0,103.6910274,36.4801864,,,
,16573,4450428308,,,,,secondary,0,103.6910271,36.480353,,,
,16574,4450428309,,,,,secondary,0,103.6917831,36.4803722,,,
,16575,4450428327,,,,,trunk,0,103.6910172,36.4856695,,,
,16577,4450428346,,,,,trunk,0,103.6910167,36.4859094,,,
,16578,4450428455,,,signal,,secondary,0,103.6909998,36.4948502,,,
,16579,4450428456,,,,,secondary,0,103.6909996,36.4950479,,,
,16580,4450428473,,,,,secondary,0,103.6910095,36.5038889,,,
,16581,4450428474,,,,,secondary,1,103.7163579,36.503947,,,
,16582,4450428475,,,,,secondary,1,103.7163372,36.5040844,,,
,16583,4450428477,,,,,secondary,0,103.6909829,36.5040592,,,
,16584,4450428976,,,,,secondary,0,103.6911764,36.5218563,,,
,16585,4450428978,,,,,secondary,0,103.6911759,36.5220825,,,
,16586,4450893118,,,,,primary,0,103.8128515,36.0535158,,,
,16587,4450893147,crossing,,,,primary,0,103.8144869,36.0551995,,,
,16588,4450893166,crossing,,,,primary,0,103.8147175,36.055298,,,
,16589,4450893170,crossing,,,,primary,0,103.8145351,36.0553631,,,
,16600,4456419122,,,,,primary,0,104.1134879,35.8471108,,,
,16601,4456419133,,,,,primary,0,104.111841,35.8481962,,,
,16602,4456419136,,,,,primary,0,104.1118991,35.8483445,,,
,16603,4456419395,,,,,primary,0,104.1098383,35.851407,,,
,16604,4456419396,,,,,primary,0,104.1099369,35.8514351,,,
,16612,4461663897,,,,,primary,0,103.6510167,35.7281268,,,
,16625,4463946246,,,,,secondary,0,103.7558731,36.0706263,,,
,16626,4463946248,,,,,primary,0,103.7559312,36.0708464,,,
,16627,4466749801,,,,,secondary,0,103.8925039,36.0571918,,,
,16629,4467517365,,,,,trunk,0,103.6394445,36.0954214,,,
,16633,4468006311,,,,,primary,0,105.9241445,34.4649957,,,
,16634,4468006312,,,,,primary,0,105.9242414,34.4650391,,,
,16636,4468023809,,,,,primary,0,105.7612585,34.5792224,,,
,16637,4468023810,,,,,primary,0,105.7607865,34.5795306,,,
,16642,4468034771,,,,,trunk,0,105.7232759,34.5907223,,,
,16643,4469957644,,,,,primary,0,105.7463829,34.5726103,,,
,16644,4469957660,,,,,secondary,0,105.7464112,34.5729638,,,
,16653,4475362043,,,,,primary,0,102.8768518,36.3435827,,,
,16654,4475798932,,,,,primary,0,102.8901089,36.3279006,,,
,16655,4475798935,,,,,primary,0,102.8904529,36.3285463,,,
,16656,4475798955,,,,,primary,1,102.8914896,36.330059,,,
,16657,4475798969,,,,,secondary,0,102.8901337,36.3307324,,,
,16658,4475798973,,,,,secondary,1,102.8911994,36.3310319,,,
,16659,4475801738,,,,,secondary,1,102.8868271,36.3551736,,,
,16660,4475827613,,,,,secondary,0,102.8938876,36.2982917,,,
,16661,4475827661,,,,,secondary,0,102.8659886,36.3059216,,,
,16662,4475827687,,,,,motorway,0,102.8971349,36.3126051,,,
,16664,4475828289,,,,,motorway,0,102.8972196,36.3126795,,,
,16666,4475828324,,,,,secondary,0,102.8746466,36.3217097,,,
,16670,4479029011,,,,,primary,0,103.8917618,36.0668197,,,
,16671,4479029013,,,,,primary,0,103.891804,36.0669359,,,
,16672,4482483806,,,,,secondary,0,105.7362241,34.5759107,,,
,16673,4482483808,,,,,secondary,0,105.7360119,34.5760197,,,
,16674,4482483815,,,,,secondary,0,105.7350458,34.5762623,,,
,16675,4482492091,,,,,secondary,0,105.7362028,34.5760094,,,
,16676,4482492092,,,,,secondary,0,105.736113,34.5760283,,,
,16679,4482492099,,,,,secondary,0,105.7366339,34.5779987,,,
,16680,4482492100,,,,,secondary,0,105.7366506,34.5780609,,,
,16681,4482492101,,,,,secondary,0,105.7365624,34.5780665,,,
,16683,4485286852,,,,,secondary,0,105.659773,34.848837,,,
,16684,4485286950,,,,,secondary,0,105.6602136,34.8504391,,,
,16685,4485287621,,,,,secondary,0,105.6604144,34.8652011,,,
,16686,4485287703,,,,,primary,0,105.6703198,34.8702687,,,
