name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,163,674486898,,apartments,,,"POLYGON ((98.29071329999999 39.7734496, 98.2909648 39.7733784, 98.2914722 39.7735583, 98.2914184 39.7736479, 98.29096749999999 39.773488, 98.2907481 39.7738534, 98.2912137 39.7740185, 98.2911502 39.7741243, 98.2906479 39.7739462, 98.2905602 39.7737633, 98.29071329999999 39.7734496))",POINT (98.290909 39.7737046),2181.1,23476.9
,164,883822147,,yes,,,"POLYGON ((103.2539883 36.7366089, 103.2543574 36.7367272, 103.2543826 36.7366766, 103.2540136 36.7365583, 103.2539883 36.7366089))",POINT (103.2541855 36.7366427),215.6,2321.2
逸夫图书馆,165,825290231,,commercial,,,"POLYGON ((100.4375101 38.9495136, 100.43755 38.9494214, 100.4375022 38.9494089, 100.4377603 38.9488126, 100.4378231 38.9488291, 100.4378659 38.9487303, 100.438638 38.9489324, 100.4385507 38.9491341, 100.4385063 38.9491224, 100.4383715 38.9494336, 100.4384439 38.9494526, 100.4383251 38.949727, 100.4375101 38.9495136))",POINT (100.4380511 38.9492224),6876.0,74012.5
,166,741237357,,yes,,,"POLYGON ((104.1620904 36.5558738, 104.162296 36.5558729, 104.1622916 36.5552167, 104.162086 36.5552176, 104.1620904 36.5558738))",POINT (104.162191 36.5555452),1339.6,14418.8
,167,916335942,,yes,,,"POLYGON ((103.6527523 36.1322447, 103.6531185 36.1320389, 103.6527041 36.131558, 103.6523379 36.1317638, 103.6527523 36.1322447))",POINT (103.6527282 36.1319013),2612.8,28123.7
,168,413018446,,yes,,,"POLYGON ((104.225164 35.8466661, 104.2250013 35.8466996, 104.2251252 35.8470723, 104.2252855 35.8470394, 104.225164 35.8466661))",POINT (104.2251438 35.8468689),643.9,6930.4
,169,408900531,,yes,,,"POLYGON ((103.968569 36.0025665, 103.9686918 36.0026923, 103.9693302 36.0022844, 103.9692074 36.0021586, 103.968569 36.0025665))",POINT (103.9689496 36.0024255),1300.5,13998.6
,170,591205955,,yes,,,"POLYGON ((103.9661135 36.0529991, 103.9662945 36.0530902, 103.9663641 36.0529998, 103.9663291 36.0529822, 103.9662926 36.0530296, 103.9661466 36.0529561, 103.9661135 36.0529991))",POINT (103.9662395 36.0530217),130.4,1403.8
,171,665669495,,yes,,,"POLYGON ((95.8000356 40.5137421, 95.80080270000001 40.5137543, 95.80080580000001 40.5136407, 95.8000387 40.5136284, 95.8000356 40.5137421))",POINT (95.8004206 40.5136914),829.9,8933.2
,172,921508846,,yes,,,"POLYGON ((103.8719103 36.0315758, 103.8719476 36.031669, 103.8727562 36.0314576, 103.872719 36.0313643, 103.8719103 36.0315758))",POINT (103.8723333 36.0315167),832.9,8965.1
,173,780117934,,yes,,,"POLYGON ((107.6241302 35.7301892, 107.6242051 35.7302095, 107.6242778 35.7300325, 107.6242029 35.7300122, 107.6241302 35.7301892))",POINT (107.624204 35.7301109),148.2,1595.5
,174,580809746,,yes,,,"POLYGON ((105.7093275 34.5703646, 105.7094266 34.5703724, 105.7094413 34.570246, 105.7100459 34.5702935, 105.7100549 34.5702156, 105.709372 34.5701619, 105.7093637 34.5702333, 105.7093429 34.5702317, 105.7093275 34.5703646))",POINT (105.7096464 34.5702425),677.3,7290.6
